1766951177.269029 server started (78177): version 3.6a, socket /private/tmp/tmux-501/default, protocol 8
1766951177.269082 on Darwin 24.6.0 Darwin Kernel Version 24.6.0: Mon Jul 14 11:30:34 PDT 2025; root:xnu-11417.140.69~1/RELEASE_ARM64_T8103
1766951177.269099 using libevent 2.1.12-stable select
1766951177.269117 using utf8proc 2.11.2
1766951177.269130 using ncurses 6.5 20240427
1766951177.270826 input_key_build: 0x850000010e260 (M-S-F6[I]) is \033[17;4~
1766951177.270832 input_key_build: 0x850000010e261 (M-S-F7[I]) is \033[18;4~
1766951177.270838 input_key_build: 0x850000010e262 (M-S-F8[I]) is \033[19;4~
1766951177.270844 input_key_build: 0x850000010e263 (M-S-F9[I]) is \033[20;4~
1766951177.270850 input_key_build: 0x850000010e264 (M-S-F10[I]) is \033[21;4~
1766951177.270856 input_key_build: 0x850000010e265 (M-S-F11[I]) is \033[23;4~
1766951177.270862 input_key_build: 0x850000010e266 (M-S-F12[I]) is \033[24;4~
1766951177.270868 input_key_build: 0x850000010e267 (M-S-IC[I]) is \033[2;4~
1766951177.270873 input_key_build: 0x850000010e268 (M-S-DC[I]) is \033[3;4~
1766951177.270879 input_key_build: 0x850000010e269 (M-S-Home[I]) is \033[1;4H
1766951177.270884 input_key_build: 0x850000010e26a (M-S-End[I]) is \033[1;4F
1766951177.270890 input_key_build: 0x850000010e26b (M-S-NPage[I]) is \033[6;4~
1766951177.270896 input_key_build: 0x850000010e26c (M-S-PPage[I]) is \033[5;4~
1766951177.270901 input_key_build: 0x850000010e26e (M-S-Up[I]) is \033[1;4A
1766951177.270907 input_key_build: 0x850000010e26f (M-S-Down[I]) is \033[1;4B
1766951177.270913 input_key_build: 0x850000010e270 (M-S-Left[I]) is \033[1;4D
1766951177.270919 input_key_build: 0x850000010e271 (M-S-Right[I]) is \033[1;4C
1766951177.270925 input_key_build: 0x870000010e25b (C-M-S-F1[I]) is \033[1;8P
1766951177.270932 input_key_build: 0x870000010e25c (C-M-S-F2[I]) is \033[1;8Q
1766951177.270941 input_key_build: 0x870000010e25d (C-M-S-F3[I]) is \033[1;8R
1766951177.270948 input_key_build: 0x870000010e25e (C-M-S-F4[I]) is \033[1;8S
1766951177.270956 input_key_build: 0x870000010e25f (C-M-S-F5[I]) is \033[15;8~
1766951177.270964 input_key_build: 0x870000010e260 (C-M-S-F6[I]) is \033[17;8~
1766951177.270970 input_key_build: 0x870000010e261 (C-M-S-F7[I]) is \033[18;8~
1766951177.270978 input_key_build: 0x870000010e262 (C-M-S-F8[I]) is \033[19;8~
1766951177.270983 input_key_build: 0x870000010e263 (C-M-S-F9[I]) is \033[20;8~
1766951177.270989 input_key_build: 0x870000010e264 (C-M-S-F10[I]) is \033[21;8~
1766951177.270995 input_key_build: 0x870000010e265 (C-M-S-F11[I]) is \033[23;8~
1766951177.271001 input_key_build: 0x870000010e266 (C-M-S-F12[I]) is \033[24;8~
1766951177.271007 input_key_build: 0x870000010e267 (C-M-S-IC[I]) is \033[2;8~
1766951177.271012 input_key_build: 0x870000010e268 (C-M-S-DC[I]) is \033[3;8~
1766951177.271018 input_key_build: 0x870000010e269 (C-M-S-Home[I]) is \033[1;8H
1766951177.271024 input_key_build: 0x870000010e26a (C-M-S-End[I]) is \033[1;8F
1766951177.271030 input_key_build: 0x870000010e26b (C-M-S-NPage[I]) is \033[6;8~
1766951177.271036 input_key_build: 0x870000010e26c (C-M-S-PPage[I]) is \033[5;8~
1766951177.271042 input_key_build: 0x870000010e26e (C-M-S-Up[I]) is \033[1;8A
1766951177.271049 input_key_build: 0x870000010e26f (C-M-S-Down[I]) is \033[1;8B
1766951177.271057 input_key_build: 0x870000010e270 (C-M-S-Left[I]) is \033[1;8D
1766951177.271064 input_key_build: 0x870000010e271 (C-M-S-Right[I]) is \033[1;8C
1766951177.271091 yylex_token: end at WS
1766951177.271099 yylex_token: bind
1766951177.271106 yylex_token: end at WS
1766951177.271112 yylex_token: -N
1766951177.271120 yylex_token: end at WS
1766951177.271126 yylex_token: Send the prefix key
1766951177.271132 yylex_token: end at WS
1766951177.271137 yylex_token: C-b
1766951177.271158 yylex_token: end at WS
1766951177.271165 yylex_token: send-prefix
1766951177.271176 cmd_parse_build_commands 0:0: bind
1766951177.271182 cmd_parse_build_commands 0:1: -N
1766951177.271188 cmd_parse_build_commands 0:2: Send the prefix key
1766951177.271196 cmd_parse_build_commands 0:3: C-b
1766951177.271204 cmd_parse_build_commands 0:4 0:0: send-prefix
1766951177.271220 cmd_parse_build_commands 0:0: send-prefix
1766951177.271235 args_parse: flags end at 1 of 1
1766951177.271244 cmd_parse_build_commands: send-prefix
1766951177.271250 args_parse_flags: next -N
1766951177.271256 args_parse_flag_argument: -N = Send the prefix key
1766951177.271262 args_parse_flags: next C-b
1766951177.271268 args_parse: flags end at 3 of 5
1766951177.271274 args_parse: 3 = C-b (type STRING)
1766951177.271286 args_parse: 4 = send-prefix (type COMMANDS)
1766951177.271307 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1766951177.271333 cmdq_get_command: [bind-key/0x132807e30] group 10
1766951177.271340 cmdq_append <global>: [bind-key/0x132807e30]
1766951177.271347 yylex_token: end at WS
1766951177.271353 yylex_token: bind
1766951177.271361 yylex_token: end at WS
1766951177.271368 yylex_token: -N
1766951177.271377 yylex_token: end at WS
1766951177.271383 yylex_token: Rotate through the panes
1766951177.271391 yylex_token: end at WS
1766951177.271398 yylex_token: C-o
1766951177.271407 yylex_token: end at WS
1766951177.271412 yylex_token: rotate-window
1766951177.271420 cmd_parse_build_commands 0:0: bind
1766951177.271426 cmd_parse_build_commands 0:1: -N
1766951177.271432 cmd_parse_build_commands 0:2: Rotate through the panes
1766951177.271437 cmd_parse_build_commands 0:3: C-o
1766951177.271443 cmd_parse_build_commands 0:4 0:0: rotate-window
1766951177.271452 cmd_parse_build_commands 0:0: rotate-window
1766951177.271460 args_parse: flags end at 1 of 1
1766951177.271469 cmd_parse_build_commands: rotate-window
1766951177.271477 args_parse_flags: next -N
1766951177.271483 args_parse_flag_argument: -N = Rotate through the panes
1766951177.271489 args_parse_flags: next C-o
1766951177.271494 args_parse: flags end at 3 of 5
1766951177.271500 args_parse: 3 = C-o (type STRING)
1766951177.271507 args_parse: 4 = rotate-window (type COMMANDS)
1766951177.271524 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1766951177.271535 cmdq_get_command: [bind-key/0x132808250] group 18
1766951177.271543 cmdq_append <global>: [bind-key/0x132808250]
1766951177.271549 yylex_token: end at WS
1766951177.271554 yylex_token: bind
1766951177.271560 yylex_token: end at WS
1766951177.271566 yylex_token: -N
1766951177.271575 yylex_token: end at WS
1766951177.271582 yylex_token: Suspend the current client
1766951177.271589 yylex_token: end at WS
1766951177.271596 yylex_token: C-z
1766951177.271603 yylex_token: end at WS
1766951177.271608 yylex_token: suspend-client
1766951177.271615 cmd_parse_build_commands 0:0: bind
1766951177.271621 cmd_parse_build_commands 0:1: -N
1766951177.271627 cmd_parse_build_commands 0:2: Suspend the current client
1766951177.271635 cmd_parse_build_commands 0:3: C-z
1766951177.271643 cmd_parse_build_commands 0:4 0:0: suspend-client
1766951177.271655 cmd_parse_build_commands 0:0: suspend-client
1766951177.271666 args_parse: flags end at 1 of 1
1766951177.271675 cmd_parse_build_commands: suspend-client
1766951177.271683 args_parse_flags: next -N
1766951177.271691 args_parse_flag_argument: -N = Suspend the current client
1766951177.271698 args_parse_flags: next C-z
1766951177.271705 args_parse: flags end at 3 of 5
1766951177.271714 args_parse: 3 = C-z (type STRING)
1766951177.271722 args_parse: 4 = suspend-client (type COMMANDS)
1766951177.271740 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1766951177.271750 cmdq_get_command: [bind-key/0x132808850] group 26
1766951177.271759 cmdq_append <global>: [bind-key/0x132808850]
1766951177.271766 yylex_token: end at WS
1766951177.271773 yylex_token: bind
1766951177.271781 yylex_token: end at WS
1766951177.271804 yylex_token: -N
1766951177.271814 yylex_token: end at WS
1766951177.271821 yylex_token: Select next layout
1766951177.271830 yylex_token: end at WS
1766951177.271836 yylex_token: Space
1766951177.271846 yylex_token: end at WS
1766951177.271852 yylex_token: next-layout
1766951177.271861 cmd_parse_build_commands 0:0: bind
1766951177.271868 cmd_parse_build_commands 0:1: -N
1766951177.271875 cmd_parse_build_commands 0:2: Select next layout
1766951177.271883 cmd_parse_build_commands 0:3: Space
1766951177.271893 cmd_parse_build_commands 0:4 0:0: next-layout
1766951177.271904 cmd_parse_build_commands 0:0: next-layout
1766951177.271915 args_parse: flags end at 1 of 1
1766951177.271924 cmd_parse_build_commands: next-layout
1766951177.271931 args_parse_flags: next -N
1766951177.271939 args_parse_flag_argument: -N = Select next layout
1766951177.271947 args_parse_flags: next Space
1766951177.271953 args_parse: flags end at 3 of 5
1766951177.271961 args_parse: 3 = Space (type STRING)
1766951177.271969 args_parse: 4 = next-layout (type COMMANDS)
1766951177.271986 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1766951177.271996 cmdq_get_command: [bind-key/0x132808b90] group 34
1766951177.272004 cmdq_append <global>: [bind-key/0x132808b90]
1766951177.272012 yylex_token: end at WS
1766951177.272019 yylex_token: bind
1766951177.272026 yylex_token: end at WS
1766951177.272034 yylex_token: -N
1766951177.272045 yylex_token: end at WS
1766951177.272053 yylex_token: Break pane to a new window
1766951177.272063 yylex_token: end at WS
1766951177.272070 yylex_token: !
1766951177.272080 yylex_token: end at WS
1766951177.272087 yylex_token: break-pane
1766951177.272095 cmd_parse_build_commands 0:0: bind
1766951177.272102 cmd_parse_build_commands 0:1: -N
1766951177.272109 cmd_parse_build_commands 0:2: Break pane to a new window
1766951177.272116 cmd_parse_build_commands 0:3: !
1766951177.272124 cmd_parse_build_commands 0:4 0:0: break-pane
1766951177.272134 cmd_parse_build_commands 0:0: break-pane
1766951177.272142 args_parse: flags end at 1 of 1
1766951177.272151 cmd_parse_build_commands: break-pane
1766951177.272160 args_parse_flags: next -N
1766951177.272170 args_parse_flag_argument: -N = Break pane to a new window
1766951177.272179 args_parse_flags: next !
1766951177.272189 args_parse: flags end at 3 of 5
1766951177.272199 args_parse: 3 = ! (type STRING)
1766951177.272210 args_parse: 4 = break-pane (type COMMANDS)
1766951177.272227 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1766951177.272237 cmdq_get_command: [bind-key/0x132808ee0] group 42
1766951177.272245 cmdq_append <global>: [bind-key/0x132808ee0]
1766951177.272252 yylex_token: end at WS
1766951177.272259 yylex_token: bind
1766951177.272266 yylex_token: end at WS
1766951177.272273 yylex_token: -N
1766951177.272282 yylex_token: end at WS
1766951177.272291 yylex_token: Split window vertically
1766951177.272299 yylex_token: end at WS
1766951177.272308 yylex_token: "
1766951177.272316 yylex_token: end at WS
1766951177.272323 yylex_token: split-window
1766951177.272331 cmd_parse_build_commands 0:0: bind
1766951177.272339 cmd_parse_build_commands 0:1: -N
1766951177.272347 cmd_parse_build_commands 0:2: Split window vertically
1766951177.272354 cmd_parse_build_commands 0:3: "
1766951177.272361 cmd_parse_build_commands 0:4 0:0: split-window
1766951177.272371 cmd_parse_build_commands 0:0: split-window
1766951177.272381 args_parse: flags end at 1 of 1
1766951177.272391 cmd_parse_build_commands: split-window
1766951177.272399 args_parse_flags: next -N
1766951177.272407 args_parse_flag_argument: -N = Split window vertically
1766951177.272414 args_parse_flags: next "
1766951177.272421 args_parse: flags end at 3 of 5
1766951177.272428 args_parse: 3 = " (type STRING)
1766951177.272436 args_parse: 4 = split-window (type COMMANDS)
1766951177.272453 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1766951177.272463 cmdq_get_command: [bind-key/0x132809560] group 50
1766951177.272471 cmdq_append <global>: [bind-key/0x132809560]
1766951177.272489 yylex_token: end at WS
1766951177.272497 yylex_token: bind
1766951177.272505 yylex_token: end at WS
1766951177.272512 yylex_token: -N
1766951177.272521 yylex_token: end at WS
1766951177.272531 yylex_token: List all paste buffers
1766951177.272540 yylex_token: end at WS
1766951177.272548 yylex_token: #
1766951177.272556 yylex_token: end at WS
1766951177.272564 yylex_token: list-buffers
1766951177.272573 cmd_parse_build_commands 0:0: bind
1766951177.272581 cmd_parse_build_commands 0:1: -N
1766951177.272588 cmd_parse_build_commands 0:2: List all paste buffers
1766951177.272595 cmd_parse_build_commands 0:3: #
1766951177.272602 cmd_parse_build_commands 0:4 0:0: list-buffers
1766951177.272612 cmd_parse_build_commands 0:0: list-buffers
1766951177.272622 args_parse: flags end at 1 of 1
1766951177.272632 cmd_parse_build_commands: list-buffers
1766951177.272639 args_parse_flags: next -N
1766951177.272647 args_parse_flag_argument: -N = List all paste buffers
1766951177.272655 args_parse_flags: next #
1766951177.272662 args_parse: flags end at 3 of 5
1766951177.272672 args_parse: 3 = # (type STRING)
1766951177.272680 args_parse: 4 = list-buffers (type COMMANDS)
1766951177.272697 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1766951177.272708 cmdq_get_command: [bind-key/0x132809800] group 58
1766951177.272716 cmdq_append <global>: [bind-key/0x132809800]
1766951177.272724 yylex_token: end at WS
1766951177.272732 yylex_token: bind
1766951177.272740 yylex_token: end at WS
1766951177.272748 yylex_token: -N
1766951177.272758 yylex_token: end at WS
1766951177.272766 yylex_token: Rename current session
1766951177.272773 yylex_token: end at WS
1766951177.272781 yylex_token: $
1766951177.272789 yylex_token: end at WS
1766951177.272798 yylex_token: command-prompt
1766951177.272805 yylex_token: end at WS
1766951177.272813 yylex_token: -I#S
1766951177.272821 yylex_token: end at WS
1766951177.272828 yylex_token: rename-session
1766951177.272835 yylex_token: end at WS
1766951177.272841 yylex_token: --
1766951177.272848 yylex_token: end at WS
1766951177.272855 yylex_token: %%
